ObjectId,province,technology,critical_2060_price_for_6p5,right_censored_at_60
10956,Tibet,solar PV,28.08340966701508,False
11041,Tibet,solar PV,31.17712296545505,False
11990,Tibet,solar PV,30.575172007083893,False
1798,Qinghai,solar PV,35.62568485736847,False
1800,Qinghai,solar PV,35.62568508088589,False
4006,Qinghai,solar PV,38.05286720395088,False
4040,Qinghai,solar PV,41.8238228559494,False
4117,Qinghai,solar PV,41.8238228559494,False
4126,Qinghai,solar PV,38.78529198467732,False
4127,Qinghai,solar PV,41.8238228559494,False
4128,Qinghai,solar PV,41.8238228559494,False
4129,Qinghai,solar PV,41.8238228559494,False
4130,Qinghai,solar PV,41.07812583446503,False
4132,Qinghai,solar PV,41.07812583446503,False
4133,Qinghai,solar PV,41.07812583446503,False
4134,Qinghai,solar PV,41.8238228559494,False
4135,Qinghai,solar PV,41.8238228559494,False
4136,Qinghai,solar PV,38.78529198467732,False
4137,Qinghai,solar PV,37.54732981324196,False
4138,Qinghai,solar PV,37.550308629870415,False
4139,Qinghai,solar PV,41.13924913108349,False
4140,Qinghai,solar PV,38.43778856098652,False
4141,Qinghai,solar PV,41.7874650657177,False
4143,Qinghai,solar PV,38.43778856098652,False
4144,Qinghai,solar PV,42.44417153298855,False
4145,Qinghai,solar PV,42.44417153298855,False
4146,Qinghai,solar PV,38.77873465418816,False
4147,Qinghai,solar PV,41.8238228559494,False
4148,Qinghai,solar PV,41.8238228559494,False
4149,Qinghai,solar PV,37.54732891917229,False
4151,Qinghai,solar PV,41.63839749991894,False
4153,Qinghai,solar PV,35.625685304403305,False
4154,Qinghai,solar PV,41.06598772108555,False
4155,Qinghai,solar PV,35.62568508088589,False
4156,Qinghai,solar PV,35.62568485736847,False
4157,Qinghai,solar PV,35.62568508088589,False
4159,Qinghai,solar PV,35.625685304403305,False
4160,Qinghai,solar PV,36.4029436558485,False
4161,Qinghai,solar PV,37.00897224247456,False
4163,Qinghai,solar PV,37.18620948493481,False
4165,Qinghai,solar PV,36.20779909193516,False
4167,Qinghai,solar PV,37.00897224247456,False
4173,Qinghai,solar PV,42.709762305021286,False
4176,Qinghai,solar PV,41.515903919935226,False
4179,Qinghai,solar PV,41.06598772108555,False
4180,Qinghai,solar PV,37.26500183343887,False
4182,Qinghai,solar PV,36.4029436558485,False
4189,Qinghai,solar PV,36.4029436558485,False
4190,Qinghai,solar PV,36.4029436558485,False
4192,Qinghai,solar PV,40.2824592590332,False
4197,Qinghai,solar PV,36.7006415873766,False
4204,Qinghai,solar PV,38.10550153255463,False
4205,Qinghai,solar PV,38.93323838710785,False
4208,Qinghai,solar PV,36.31452955305576,False
4225,Qinghai,solar PV,38.64700756967068,False
4228,Qinghai,solar PV,36.4029436558485,False
