ObjectId,merge_province_cn,power_type_cn,critical_combined_learning_multiple,right_censored_at_20
10956,西藏,光伏,1.2,False
11041,西藏,光伏,,True
11990,西藏,光伏,4.5,False
1798,青海,光伏,,True
1800,青海,光伏,,True
4006,青海,光伏,,True
4040,青海,光伏,,True
4117,青海,光伏,,True
4126,青海,光伏,,True
4127,青海,光伏,,True
4128,青海,光伏,,True
4129,青海,光伏,,True
4130,青海,光伏,,True
4132,青海,光伏,,True
4133,青海,光伏,,True
4134,青海,光伏,,True
4135,青海,光伏,,True
4136,青海,光伏,,True
4137,青海,光伏,,True
4138,青海,光伏,,True
4139,青海,光伏,,True
4140,青海,光伏,,True
4141,青海,光伏,,True
4143,青海,光伏,,True
4144,青海,光伏,,True
4145,青海,光伏,,True
4146,青海,光伏,,True
4147,青海,光伏,,True
4148,青海,光伏,,True
4149,青海,光伏,,True
4151,青海,光伏,,True
4153,青海,光伏,,True
4154,青海,光伏,,True
4155,青海,光伏,,True
4156,青海,光伏,,True
4157,青海,光伏,,True
4159,青海,光伏,,True
4160,青海,光伏,,True
4161,青海,光伏,,True
4163,青海,光伏,,True
4165,青海,光伏,,True
4167,青海,光伏,,True
4176,青海,光伏,,True
4179,青海,光伏,,True
4180,青海,光伏,,True
4182,青海,光伏,,True
4189,青海,光伏,,True
4190,青海,光伏,,True
4192,青海,光伏,,True
4197,青海,光伏,,True
4204,青海,光伏,,True
4205,青海,光伏,,True
4208,青海,光伏,,True
4225,青海,光伏,,True
4228,青海,光伏,,True
4233,青海,光伏,,True
4242,青海,光伏,,True
4250,青海,光伏,,True
4256,青海,光伏,,True
4263,青海,光伏,,True
4268,青海,光伏,,True
4274,青海,光伏,,True
4283,青海,光伏,,True
4288,青海,光伏,,True
4291,青海,光伏,,True
4298,青海,光伏,,True
4301,青海,光伏,,True
4309,青海,光伏,,True
4317,青海,光伏,,True
4320,青海,光伏,,True
4326,青海,光伏,,True
4420,青海,光伏,,True
4434,青海,光伏,,True
4440,青海,光伏,,True
4446,青海,光伏,,True
4452,青海,光伏,,True
4456,青海,光伏,,True
4463,青海,光伏,,True
4479,青海,光伏,,True
4490,青海,光伏,,True
4510,青海,光伏,,True
4516,青海,光伏,,True
4522,青海,光伏,,True
4535,青海,光伏,,True
4541,青海,光伏,,True
4543,青海,光伏,,True
4603,青海,光伏,,True
4609,青海,光伏,,True
4615,青海,光伏,,True
4622,青海,光伏,,True
4631,青海,光伏,,True
4641,青海,光伏,,True
4642,青海,光伏,,True
4647,青海,光伏,,True
4648,青海,光伏,,True
4654,青海,光伏,,True
4682,青海,光伏,,True
4690,青海,光伏,,True
4693,青海,光伏,,True
4705,青海,光伏,,True
4710,青海,光伏,,True
4712,青海,光伏,,True
4716,青海,光伏,,True
4718,青海,光伏,,True
4722,青海,光伏,,True
4724,青海,光伏,,True
4726,青海,光伏,,True
4744,青海,光伏,,True
4746,青海,光伏,,True
4752,青海,光伏,,True
4756,青海,光伏,,True
4757,青海,光伏,,True
4767,青海,光伏,,True
4795,青海,光伏,,True
4804,青海,光伏,,True
4811,青海,光伏,,True
4817,青海,光伏,,True
4824,青海,光伏,,True
4850,青海,光伏,,True
4854,青海,光伏,,True
4857,青海,光伏,,True
4863,青海,光伏,,True
4865,青海,光伏,,True
4868,青海,光伏,,True
4874,青海,光伏,,True
4879,青海,光伏,,True
4882,青海,光伏,,True
4889,青海,光伏,,True
4891,青海,光伏,,True
4897,青海,光伏,,True
4899,青海,光伏,,True
4903,青海,光伏,,True
4905,青海,光伏,,True
4911,青海,光伏,,True
4916,青海,光伏,,True
4928,青海,光伏,,True
4931,青海,光伏,,True
4932,青海,光伏,,True
4933,青海,光伏,,True
4943,青海,光伏,,True
4944,青海,光伏,,True
4952,青海,光伏,,True
4956,青海,光伏,,True
4957,青海,光伏,,True
4960,青海,光伏,,True
4966,青海,光伏,,True
4977,青海,光伏,,True
4992,青海,光伏,,True
4994,青海,光伏,,True
4998,青海,光伏,,True
6017,新疆,光伏,,True
6030,新疆,光伏,,True
6031,新疆,光伏,,True
6032,新疆,光伏,,True
6036,新疆,光伏,,True
6037,新疆,光伏,,True
6057,新疆,光伏,,True
6059,新疆,光伏,,True
6060,新疆,光伏,,True
6061,新疆,光伏,,True
6063,新疆,光伏,,True
6066,新疆,光伏,,True
6067,新疆,光伏,,True
6068,新疆,光伏,,True
6069,新疆,光伏,,True
6070,新疆,光伏,,True
6076,新疆,光伏,,True
6082,新疆,光伏,,True
6083,新疆,光伏,,True
6086,新疆,光伏,,True
6089,新疆,光伏,,True
6098,新疆,光伏,,True
6101,新疆,光伏,,True
6102,新疆,光伏,,True
6104,新疆,光伏,,True
6111,新疆,光伏,,True
6112,新疆,光伏,,True
6114,新疆,光伏,,True
6120,新疆,光伏,,True
6123,新疆,光伏,,True
6124,新疆,光伏,,True
6129,新疆,光伏,,True
6131,新疆,光伏,,True
6133,新疆,光伏,,True
6140,新疆,光伏,,True
6143,新疆,光伏,,True
6149,新疆,光伏,,True
6159,新疆,光伏,,True
6160,新疆,光伏,,True
6165,新疆,光伏,,True
6178,新疆,光伏,,True
6183,新疆,光伏,,True
6189,新疆,光伏,,True
6190,新疆,光伏,,True
6191,新疆,光伏,,True
6197,新疆,光伏,,True
6199,新疆,光伏,,True
6214,新疆,光伏,,True
6215,新疆,光伏,,True
6219,新疆,光伏,,True
6224,新疆,光伏,,True
6230,新疆,光伏,,True
6247,新疆,光伏,,True
6253,新疆,光伏,,True
6259,新疆,光伏,,True
6268,新疆,光伏,,True
6270,新疆,光伏,,True
6276,新疆,光伏,,True
6288,新疆,光伏,,True
6290,新疆,光伏,,True
6294,新疆,光伏,,True
6295,新疆,光伏,,True
6321,新疆,光伏,,True
6322,新疆,光伏,,True
6323,新疆,光伏,,True
6328,新疆,光伏,,True
6358,新疆,光伏,,True
6360,新疆,光伏,,True
6361,新疆,光伏,,True
6362,新疆,光伏,,True
6365,新疆,光伏,,True
6380,新疆,光伏,,True
6387,新疆,光伏,,True
6388,新疆,光伏,,True
6389,新疆,光伏,,True
6394,新疆,光伏,,True
6405,新疆,光伏,,True
6415,新疆,光伏,,True
6428,新疆,光伏,,True
6435,新疆,光伏,,True
6447,新疆,光伏,,True
6451,新疆,光伏,,True
6465,新疆,光伏,,True
6467,新疆,光伏,,True
6468,新疆,光伏,,True
6475,新疆,光伏,,True
6476,新疆,光伏,,True
6485,新疆,光伏,,True
6528,新疆,光伏,,True
6536,新疆,光伏,,True
6538,新疆,光伏,,True
6548,新疆,光伏,,True
6559,新疆,光伏,,True
6564,新疆,光伏,,True
6565,新疆,光伏,,True
6566,新疆,光伏,,True
6574,新疆,光伏,,True
6576,新疆,光伏,,True
6579,新疆,光伏,,True
6582,新疆,光伏,,True
6590,新疆,光伏,,True
6598,新疆,光伏,,True
6602,新疆,光伏,,True
6607,新疆,光伏,,True
6609,新疆,光伏,,True
6625,新疆,光伏,,True
6628,新疆,光伏,,True
6634,新疆,光伏,,True
6638,新疆,光伏,,True
6644,新疆,光伏,,True
6659,新疆,光伏,,True
6669,新疆,光伏,,True
6672,新疆,光伏,,True
6675,新疆,光伏,,True
6707,新疆,光伏,,True
6720,新疆,光伏,,True
6739,新疆,光伏,,True
6740,新疆,光伏,,True
6745,新疆,光伏,,True
6747,新疆,光伏,,True
6753,新疆,光伏,,True
6755,新疆,光伏,,True
6760,新疆,光伏,,True
6764,新疆,光伏,,True
6766,新疆,光伏,,True
6777,新疆,光伏,,True
6790,新疆,光伏,,True
6793,新疆,光伏,,True
6799,新疆,光伏,,True
6802,新疆,光伏,,True
6804,新疆,光伏,,True
6806,新疆,光伏,,True
6812,新疆,光伏,,True
6815,新疆,光伏,,True
6819,新疆,光伏,,True
6824,新疆,光伏,,True
6827,新疆,光伏,,True
