ObjectId,merge_province_cn,power_type_cn,initial_6p5_gap_100m_cny,operating_learning_gain_100m_cny,gap_share_of_initial_capex,gain_share_of_initial_capex,learning_gain_share_of_gap,closes_gap_at_baseline_learning
10956,西藏,光伏,0.0019033394201048016,0.0015878052220351091,0.026226093868201485,0.0218783514688202,0.8342207413261485,False
11041,西藏,光伏,0.00601928139877793,0.0014231998153052701,0.08328364144065495,0.019691596930549712,0.23644015307113178,False
11990,西藏,光伏,0.005399826632730435,0.0014765159225602622,0.07440240568582945,0.020344419208948986,0.2734376532777051,False
1798,青海,光伏,0.03205708755680958,0.0,0.14155179389201047,0.0,0.0,False
1800,青海,光伏,0.1393786458081772,0.0,0.14155179832700038,0.0,0.0,False
4006,青海,光伏,0.03630752114222292,0.0,0.18307072500973934,0.0,0.0,False
4040,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4117,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4126,青海,光伏,0.014123072577987937,0.0,0.19551612406163524,0.0,0.0,False
4127,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4128,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4129,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4130,青海,光伏,0.017467171891096724,0.0,0.2363104061829664,0.0,0.0,False
4132,青海,光伏,0.017467171891096724,0.0,0.2363104061829664,0.0,0.0,False
4133,青海,光伏,0.017467171891096724,0.0,0.2363104061829664,0.0,0.0,False
4134,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4135,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4136,青海,光伏,0.014123072577987937,0.0,0.19551612406163524,0.0,0.0,False
4137,青海,光伏,0.013356731035184349,0.0,0.17455161863128665,0.0,0.0,False
4138,青海,光伏,0.0215011201147948,0.0,0.17459434142956964,0.0,0.0,False
4139,青海,光伏,0.016941057435189855,0.0,0.23415746920027938,0.0,0.0,False
4140,青海,光伏,0.037884802885605966,0.0,0.1895048831017243,0.0,0.0,False
4141,青海,光伏,0.01765684723114674,0.0,0.24440800619576108,0.0,0.0,False
4143,青海,光伏,0.018942401726259325,0.0,0.1895048858708441,0.0,0.0,False
4144,青海,光伏,0.018496031493716873,0.0,0.25493849924017836,0.0,0.0,False
4145,青海,光伏,0.018496031493716873,0.0,0.25493849924017836,0.0,0.0,False
4146,青海,光伏,0.014287110537017282,0.0,0.19638849847052017,0.0,0.0,False
4147,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4148,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4149,青海,光伏,0.016695912274476046,0.0,0.17455160296449854,0.0,0.0,False
4151,青海,光伏,0.017985102443977594,0.0,0.24460768412739448,0.0,0.0,False
4153,青海,光伏,0.027875729536878738,0.0,0.14155180078015162,0.0,0.0,False
4154,青海,光伏,0.017257542903970313,0.0,0.23550718098261242,0.0,0.0,False
4155,青海,光伏,0.05575145715915946,0.0,0.14155179629122064,0.0,0.0,False
4156,青海,光伏,0.04181359256272512,0.0,0.1415517945503759,0.0,0.0,False
4157,青海,光伏,0.05575145715915946,0.0,0.14155179629122064,0.0,0.0,False
4159,青海,光伏,0.14774136875882038,0.0,0.14155180166024423,0.0,0.0,False
4160,青海,光伏,0.016405860941564043,0.0,0.1550168833266175,0.0,0.0,False
4161,青海,光伏,0.012378960091887955,0.0,0.16809761409650087,0.0,0.0,False
4163,青海,光伏,0.012190018857002428,0.0,0.16887509583166765,0.0,0.0,False
4165,青海,光伏,0.016355650701065486,0.0,0.15164926730852113,0.0,0.0,False
4167,青海,光伏,0.012378960091887955,0.0,0.16809761409650087,0.0,0.0,False
4176,青海,光伏,0.017675301218571617,0.0,0.24195510081635202,0.0,0.0,False
4179,青海,光伏,0.017257542903970313,0.0,0.23550718098261242,0.0,0.0,False
4180,青海,光伏,0.012821809315573775,0.0,0.173123809032171,0.0,0.0,False
4182,青海,光伏,0.016405860941564043,0.0,0.1550168833266175,0.0,0.0,False
4189,青海,光伏,0.016405860941564043,0.0,0.1550168833266175,0.0,0.0,False
4190,青海,光伏,0.032811721719359185,0.0,0.15501688266852723,0.0,0.0,False
4192,青海,光伏,0.016529140606652212,0.0,0.22348826947460415,0.0,0.0,False
4197,青海,光伏,0.013646048116088638,0.0,0.16009557127250076,0.0,0.0,False
4204,青海,光伏,0.036625492418478504,0.0,0.18396743895811038,0.0,0.0,False
4205,青海,光伏,0.13744450816605275,0.0,0.19772080046568158,0.0,0.0,False
4208,青海,光伏,0.06251324860470027,0.0,0.15349585808710817,0.0,0.0,False
4225,青海,光伏,0.33506864904905553,0.0,0.19296189526926322,0.0,0.0,False
4228,青海,光伏,0.032811721719359185,0.0,0.15501688266852723,0.0,0.0,False
4233,青海,光伏,0.03350686298149388,0.0,0.19296188587140392,0.0,0.0,False
4242,青海,光伏,0.018676151492268107,0.0,0.2584396814641037,0.0,0.0,False
4250,青海,光伏,0.018676151492268107,0.0,0.2584396814641037,0.0,0.0,False
4256,青海,光伏,0.014535182707309002,0.0,0.201199601437517,0.0,0.0,False
4263,青海,光伏,0.03125662413758238,0.0,0.15349585723598605,0.0,0.0,False
4268,青海,光伏,0.02178451169294796,0.0,0.18307071624644408,0.0,0.0,False
4274,青海,光伏,0.0209005663574125,0.0,0.18041017027851167,0.0,0.0,False
4283,青海,光伏,0.018153760616217138,0.0,0.1830707250960935,0.0,0.0,False
4288,青海,光伏,0.027875729536878738,0.0,0.14155180078015162,0.0,0.0,False
4291,青海,光伏,0.015644555570837337,0.0,0.17181527894276793,0.0,0.0,False
4298,青海,光伏,0.01858347540303018,0.0,0.25311408067285357,0.0,0.0,False
4301,青海,光伏,0.030844939592468684,0.0,0.15458001712502512,0.0,0.0,False
4309,青海,光伏,0.017675301218571617,0.0,0.24195510081635202,0.0,0.0,False
4317,青海,光伏,0.03214965853196633,0.0,0.14827157726307028,0.0,0.0,False
4320,青海,光伏,0.018153760616217138,0.0,0.1830707250960935,0.0,0.0,False
4326,青海,光伏,0.01387034168694483,0.0,0.19249351279412602,0.0,0.0,False
4420,青海,光伏,0.018676151492268107,0.0,0.2584396814641037,0.0,0.0,False
4434,青海,光伏,0.06791383292971677,0.0,0.19716541679779467,0.0,0.0,False
4440,青海,光伏,0.03258851739206844,0.0,0.1819856790385736,0.0,0.0,False
4446,青海,光伏,0.06791383292971677,0.0,0.19716541679779467,0.0,0.0,False
4452,青海,光伏,0.18452083701842323,0.0,0.14985333791952865,0.0,0.0,False
4456,青海,光伏,0.018792728233382287,0.0,0.25857585611855993,0.0,0.0,False
4463,青海,光伏,0.18452083701842323,0.0,0.14985333791952865,0.0,0.0,False
4479,青海,光伏,0.017092023385073245,0.0,0.23552963296593324,0.0,0.0,False
4490,青海,光伏,0.019546902696164194,0.0,0.15265359942843498,0.0,0.0,False
4510,青海,光伏,0.019538825164646195,0.0,0.16430468844353188,0.0,0.0,False
4516,青海,光伏,0.01831274601649447,0.0,0.18396743721882106,0.0,0.0,False
4522,青海,光伏,0.01831274601649447,0.0,0.18396743721882106,0.0,0.0,False
4535,青海,光伏,0.017289331342246105,0.0,0.2373334557958908,0.0,0.0,False
4541,青海,光伏,0.017675301218571617,0.0,0.24195510081635202,0.0,0.0,False
4543,青海,光伏,0.036625492418478504,0.0,0.18396743895811038,0.0,0.0,False
4603,青海,光伏,0.017257542903970313,0.0,0.23550718098261242,0.0,0.0,False
4609,青海,光伏,0.0170218428838969,0.0,0.2324262000367027,0.0,0.0,False
4615,青海,光伏,0.01387034168694483,0.0,0.19249351279412602,0.0,0.0,False
4622,青海,光伏,0.03125662413758238,0.0,0.15349585723598605,0.0,0.0,False
4631,青海,光伏,0.027875729536878738,0.0,0.14155180078015162,0.0,0.0,False
4641,青海,光伏,0.01829485838009667,0.0,0.1923803969461546,0.0,0.0,False
4642,青海,光伏,0.015068346103821446,0.0,0.20914842747456266,0.0,0.0,False
4647,青海,光伏,0.03271130175263886,0.0,0.15164926867261655,0.0,0.0,False
4648,青海,光伏,0.036625492418478504,0.0,0.18396743895811038,0.0,0.0,False
4654,青海,光伏,0.036625492418478504,0.0,0.18396743895811038,0.0,0.0,False
4682,青海,光伏,0.0626228133934709,0.0,0.17136093437382238,0.0,0.0,False
4690,青海,光伏,0.015068346103821446,0.0,0.20914842747456266,0.0,0.0,False
4693,青海,光伏,0.01882578277839276,0.0,0.25600339734429,0.0,0.0,False
4705,青海,光伏,0.15142453632584643,0.0,0.1539500836677196,0.0,0.0,False
4710,青海,光伏,0.013094992617570703,0.0,0.17948116555688018,0.0,0.0,False
4712,青海,光伏,0.013714456153481198,0.0,0.1898531526120277,0.0,0.0,False
4716,青海,光伏,0.01376058026293478,0.0,0.17229073390054356,0.0,0.0,False
4718,青海,光伏,0.01311039426495136,0.0,0.17961737538881817,0.0,0.0,False
4722,青海,光伏,0.05554783880909325,0.0,0.1592708937670395,0.0,0.0,False
4724,青海,光伏,0.01311039426495136,0.0,0.17961737538881817,0.0,0.0,False
4726,青海,光伏,0.017069634357024015,0.0,0.23589574471133085,0.0,0.0,False
4744,青海,光伏,0.0376556967173896,0.0,0.14647691550169784,0.0,0.0,False
4746,青海,光伏,0.014314001103228955,0.0,0.19852313505103067,0.0,0.0,False
4752,青海,光伏,0.014314001103228955,0.0,0.19852313505103067,0.0,0.0,False
4756,青海,光伏,0.012306182369729643,0.0,0.16069649150632495,0.0,0.0,False
4757,青海,光伏,0.0099194051961633,0.0,0.13374255421322767,0.0,0.0,False
4767,青海,光伏,0.024628054699396752,0.0,0.18376612736877662,0.0,0.0,False
4795,青海,光伏,0.017913624287422335,0.0,0.2438599192110564,0.0,0.0,False
4804,青海,光伏,0.015475903786652302,0.0,0.18652236588255452,0.0,0.0,False
4811,青海,光伏,0.08362718463875941,0.0,0.1415517938063878,0.0,0.0,False
4817,青海,光伏,0.01561520738581117,0.0,0.21461334175837168,0.0,0.0,False
4824,青海,光伏,0.01793115117704043,0.0,0.24702657732630726,0.0,0.0,False
4850,青海,光伏,0.01756392735465969,0.0,0.2430194056145928,0.0,0.0,False
4854,青海,光伏,0.1630160568482117,0.0,0.1792718615302609,0.0,0.0,False
4857,青海,光伏,0.01756392735465969,0.0,0.2430194056145928,0.0,0.0,False
4863,青海,光伏,0.01756392735465969,0.0,0.2430194056145928,0.0,0.0,False
4865,青海,光伏,0.17454788798135507,0.0,0.15900587928535617,0.0,0.0,False
4868,青海,光伏,0.014287110537017282,0.0,0.19638849847052017,0.0,0.0,False
4874,青海,光伏,0.014287110537017282,0.0,0.19638849847052017,0.0,0.0,False
4879,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4882,青海,光伏,0.017289331342246105,0.0,0.2373334557958908,0.0,0.0,False
4889,青海,光伏,0.017289331342246105,0.0,0.2373334557958908,0.0,0.0,False
4891,青海,光伏,0.03339290802981909,0.0,0.1538497958352592,0.0,0.0,False
4897,青海,光伏,0.01752497717564553,0.0,0.14822902962203388,0.0,0.0,False
4899,青海,光伏,0.018153760616217138,0.0,0.1830707250960935,0.0,0.0,False
4903,青海,光伏,0.017675301218571617,0.0,0.24195510081635202,0.0,0.0,False
4905,青海,光伏,0.013356731035184349,0.0,0.17455161863128665,0.0,0.0,False
4911,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4916,青海,光伏,0.016695912274476046,0.0,0.17455160296449854,0.0,0.0,False
4928,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
4931,青海,光伏,0.033956916645375194,0.0,0.19716541764652207,0.0,0.0,False
4932,青海,光伏,0.10514984813880494,0.0,0.14822901038155548,0.0,0.0,False
4933,青海,光伏,0.014123072577987937,0.0,0.19551612406163524,0.0,0.0,False
4943,青海,光伏,0.07576960564222578,0.0,0.18950488288856795,0.0,0.0,False
4944,青海,光伏,0.2643222093365702,0.0,0.145189806012368,0.0,0.0,False
4952,青海,光伏,0.056827204549132294,0.0,0.1895048837805105,0.0,0.0,False
4956,青海,光伏,0.018942401726259325,0.0,0.1895048858708441,0.0,0.0,False
4957,青海,光伏,0.018117131768381745,0.0,0.24682067756035345,0.0,0.0,False
